Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (â‚¹ Cr)
17-JUL-2023,19500.35,19602.8,19457.75,19584.8,455264066,32293.03
18-JUL-2023,19657.95,19681.65,19548.95,19605.85,490350122,40057.5
19-JUL-2023,19658.65,19706.8,19596.6,19690.7,433185742,32412.45
20-JUL-2023,19694.2,19822.95,19622.6,19811.9,445266713,37839.41
21-JUL-2023,19655.25,19732.25,19562.4,19602.6,,
24-JUL-2023,19610.3,19642.8,19526.65,19540.45,499229214,32175.63
25-JUL-2023,19593.75,19593.75,19491.05,19566.9,613056674,38176.96
26-JUL-2023,19623.8,19706.35,19600.95,19662,468455875,30572.64
27-JUL-2023,19731.55,19752.45,19510.3,19566.7,571516707,43179.85
28-JUL-2023,19576.65,19606.45,19498.55,19580.65,584482867,32514.65
31-JUL-2023,19598.9,19697.45,19545,19679.35,563542450,31729.75
01-AUG-2023,19712.85,19722.1,19630.7,19659.85,514381765,32180.95
02-AUG-2023,19590.55,19610,19339.75,19447.1,560545873,33188.9
03-AUG-2023,19388.55,19453.9,19222.4,19310.9,822524821,44466.39
04-AUG-2023,19394.75,19472.5,19378.4,19448.75,866019351,39415.32
07-AUG-2023,19509.9,19546.15,19451.2,19521.85,642666057,31426.64
08-AUG-2023,19554.6,19560.55,19450.1,19497.45,595738903,34093.78
09-AUG-2023,19510.6,19565.7,19403.05,19554.75,511719386,30489.45
10-AUG-2023,19535.55,19548.9,19423.5,19463.1,564705656,37486.35
11-AUG-2023,19482.3,19484.4,19343.25,19359,461188158,33085.87
14-AUG-2023,19313.45,19363.55,19153.7,19330.8,455062165,30435.9
16-AUG-2023,19268.05,19375.05,19212.75,19358.05,429527871,30246.73
17-AUG-2023,19350.8,19361.6,19236.3,19264.6,425792941,32210.52
18-AUG-2023,19208.25,19273.15,19157.45,19209.35,435822563,33076.5